tvdb_id	tvdb_season	" imdb_id"	anilist_id	year	Award	notes
377543	2	tv	145064	2024	Anime of the Year	Jujutsu Kaisen (S2)
426294	1	tv	155907	2024	Best Original Anime	Buddy Daddies (S1)
377543	2	tv	145064	2024	Best Character Design	Jujutsu Kaisen (S2)
348545	4	tv	145139	2024	Best Animation	Kimetsu no Yaiba (S4)
397934	1	tv	127230	2024	Best New Series	Chainsaw Man (S1)
81797	21	tv	21	2024	Best Continuing Series	One Piece (S21)
377543	2	tv	145064	2024	Best Opening	Jujutsu Kaisen (S2)
377543	2	tv	145064	2024	Best Ending	Jujutsu Kaisen (S2)
267440	4	tv	146984	2024	Best Score	Attack on Titan (S4 P3)
movie	movie	tt16428256	142770	2024	Best Film	Suzume
377543	2	tv	145064	2024	Best Director	Jujutsu Kaisen (S2)
377543	2	tv	145064	2024	Best Cinematography	Jujutsu Kaisen (S2)
348545	4	tv	145139	2024	Best Art Direction	Kimetsu no Yaiba (S4)
81797	21	tv	21	2024	Best Main Character	One Piece (S21)
377543	2	tv	145064	2024	Best Supporting Character	Jujutsu Kaisen (S2)
405920	1	tv	142838	2024	"""Must Protect At All Costs"" Character"	SPY x FAMILY (S1 P2)
377543	2	tv	145064	2024	Best Action	Jujutsu Kaisen (S2)
405920	1	tv	142838	2024	Best Comedy	SPY x FAMILY (S1 P2)
267440	4	tv	146984	2024	Best Drama	Attack on Titan (S4 P3)
348545	4	tv	145139	2024	Best Fantasy	Kimetsu no Yaiba (S4)
436124	1	tv	163132	2024	Best Romance	Horimiya: The Missing Pieces (S1)
413522	1	tv	130003	2024	Best Slice of Life	Bocchi the Rock! (S1)
377543	2	tv	145064	2024	Best VA Performance (Japanese)	Jujutsu Kaisen (S2)
397934	1	tv	127230	2024	Best VA Performance (English)	Chainsaw Man (S1)
355774	1	tv	105333	2024	Best VA Performance (Arabic)	Dr. Stone (S1)
397934	1	tv	127230	2024	Best VA Performance (Spanish)	Chainsaw Man (S1)
397934	1	tv	127230	2024	Best VA Performance (Castilian)	Chainsaw Man (S1)
377543	2	tv	145064	2024	Best VA Performance (French)	Jujutsu Kaisen (S2)
377543	2	tv	145064	2024	Best VA Performance (German)	Chainsaw Man (S1)
377543	2	tv	145064	2024	Best VA Performance (Italian)	Chainsaw Man (S1)
377543	2	tv	145064	2024	Best VA Performance (Portuguese)	Jujutsu Kaisen (S2)
421069	1	tv	150672	2024	Best Anime Song	Oshi no Ko (S1)
384541	1	tv	120377	2023	Anime of the Year	Cyberpunk: Edgerunners (S1)
414057	1	tv	143270	2023	Best Original Anime	Lycoris Recoil (S1)
348545	3	tv	142329	2023	Best Character Design	Kimetsu no Yaiba (S3)
348545	3	tv	142329	2023	Best Animation	Kimetsu no Yaiba (S3)
405920	1	tv	140960	2023	Best New Series	SPY x FAMILY (S1 P1)
81797	21	tv	21	2023	Best Continuing Series	One Piece (S21)
267440	4	tv	131681	2023	Best Opening	Attack on Titan (S4 P2)
405920	1	tv	140960	2023	Best Ending	SPY x FAMILY (S1 P1)
267440	4	tv	131681	2023	Best Score	Attack on Titan (S4 P2)
movie	movie	tt14331144	131573	2023	Best Film	Jujutsu Kaisen 0
348545	3	tv	142329	2023	Best Director	Kimetsu no Yaiba (S3)
405920	1	tv	140960	2023	Best Main Character	Attack on Titan (S4 P2)
405920	1	tv	140960	2023	Best Supporting Character	SPY x FAMILY (S1 P1)
405920	1	tv	140960	2023	"""Must Protect At All Costs"" Character"	SPY x FAMILY (S1 P1)
348545	3	tv	142329	2023	Best Action	Kimetsu no Yaiba (S3)
405920	1	tv	140960	2023	Best Comedy	SPY x FAMILY (S1 P1)
267440	4	tv	131681	2023	Best Drama	Attack on Titan (S4 P2)
