imdb_id	anidb_id	mal_id	anilist_id	notes
tt8100900	12567	34438	101811	Code Geass: Hangyaku no Lelouch I - Koudou
tt9598270	12567	34439	101812	Code Geass: Hangyaku no Lelouch II - Handou
tt9844256	12567	34440	101813	Code Geass: Hangyaku no Lelouch III - Oudou
tt9277666	4932	6624	6624	Kara no Kyoukai Remix: Gate of seventh heaven
tt1155650	4932	2593	2593	Kara no Kyoukai: Fukan Fuukei
tt1155651	4932	3782	3782	Kara no Kyoukai: Satsujin Kousatsu (Zen)
tt1155652	4932	3783	3783	Kara no Kyoukai: Tsuukaku Zanryuu
tt1233474	4932	4280	4280	Kara no Kyoukai: Garan no Dou
tt1278060	4932	4282	4282	Kara no Kyoukai: Mujun Rasen
tt1343089	4932	5204	5204	Kara no Kyoukai: Boukyaku Rokuon
tt1345776	4932	5205	5205	Kara no Kyoukai: Satsujin Kousatsu (Kou)
tt3868344	4932	6954	6954	Kara no Kyoukai: Shuushou
tt10068158	13941	37514	101343	Made in Abyss: Tabidachi no Yoake
tt10068544	13941	37515	101344	Made in Abyss: Hourou Suru Tasogare
tt15497404	16081	48375	130389	Mahouka Koukou no Rettousei: Tsuioku-hen
tt13288678	14043	37765	105595	Kidou Senshi Gundam: Senkou no Hathaway
tt7933596	13288	35949	99547	Kidou Senshi Gundam Thunderbolt: BANDIT FLOWER
tt6337252	12618	34504	98240	Seitokai Yakuindomo Movie
tt12439230	15294	40814	113692	Seitokai Yakuindomo Movie 2
tt0259974	1148	2961	2961	Digimon Adventure (Movie)
tt4531412	10726	25015	20768	Kyoukai no Kanata: I'LL BE HERE - Kako-hen
tt4539114	10726	28675	20963	Kyoukai no Kanata: I'LL BE HERE - Mirai-hen
tt11639420	14017	37704	101499	High School Fleet Movie
tt14364238	14438	38475	104460	Yuru Camp△ Movie
tt10736726	15035	40080	108981	Quanzhi Gaoshou: Dianfeng Rongyao
tt7833606	12361	33970	99938	Girls und Panzer: Saishuushou 1
tt7834494	12361	38081	107208	Girls und Panzer: Saishuushou 2
tt12286898	12361	39166	124115	Girls und Panzer: Saishuushou 3
tt9534948	14239	38085	103276	Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Wandering; Agateram
tt13997358	14239	38086	103277	Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Paladin; Agateram
tt1663145	7103	6772	6772	Break Blade 1: Kakusei no Toki
