tvdb_id	tvdb_season	tvdb_epoffset	imdb_id	anidb_id	mal_id	anilist_id
			tt8100900	12567	34438	101811
			tt9598270	12567	34439	101812
			tt9844256	12567	34440	101813
			tt9277666	4932	6624	6624
			tt1155650	4932	2593	2593
			tt1155651	4932	3782	3782
			tt1155652	4932	3783	3783
			tt1233474	4932	4280	4280
			tt1278060	4932	4282	4282
			tt1343089	4932	5204	5204
			tt1345776	4932	5205	5205
			tt3868344	4932	6954	6954
			tt10068158	13941	37514	101343
			tt10068544	13941	37515	101344
			tt15497404	16081	48375	130389
			tt13288678	14043	37765	105595
			tt7933596	13288	35949	99547
			tt6337252	12618	34504	98240
			tt12439230	15294	40814	113692
			tt0259974	1148	2961	2961
			tt4531412	10726	25015	20768
			tt4539114	10726	28675	20963
			tt11639420	14017	37704	101499
			tt14364238	14438	38475	104460
			tt10736726	15035	40080	108981
			tt7833606	12361	33970	99938
			tt7834494	12361	38081	107208
			tt12286898	12361	39166	124115
